	Word	PoS	FrCo		LogLike	FrTO
	does	Verb	1852	+	414.9	1342
	environmental	Adj	3	-	413.5	80
	B / b	Lett	201	-	413.2	429
	itself	Pron	33	-	412.2	154
	Ann	NoP	107	+	410.5	15
	only	Adv	1331	+	408.5	907
	accept	Verb	26	-	407.0	140
	mate	NoC	94	+	406.3	11
	nature	NoC	10	-	404.5	100
	function	NoC	4	-	403.2	82
	present	Adj	11	-	402.7	101
	society	NoC	24	-	402.1	134
	Freud	NoP	1	-	401.8	71
	Europe	NoP	9	-	401.0	98
	chocolate	NoC	93	+	400.1	10
	through	Prep	433	-	399.8	739
	wear	Verb	144	+	399.1	33
	groups	NoC	22	-	398.5	128
	deal	Verb	19	-	397.6	122
	councils	NoC	3	-	395.3	76
	yesterday	Adv	277	+	391.5	109
	referred	Verb	1	-	391.1	66
	centre	NoC	53	-	389.7	188
	ee	Int	80	+	388.8	7
	example	NoC	17	-	388.0	116
	in	Adv	1576	+	387.9	1122
	chairman	NoP	0	-	387.8	60
	state	NoC	37	-	387.6	157
	transport	NoC	10	-	387.3	97
	cat	NoC	111	+	387.2	18
	grandma	NoC	65	+	386.5	3
	North	NoP-	3	-	385.4	74
	made	Verb	372	-	385.3	653
	Tim	NoP	95	+	384.8	12
	concern	NoC	3	-	384.5	76
	greater	Adj	5	-	384.0	81
	P / p	Lett	224	-	383.7	452
	fund	NoC	6	-	382.9	83
	ones	NoC	451	+	382.1	228
	document	NoC	4	-	382.0	77
	company	NoC	71	-	381.9	218
	section	NoC	25	-	381.3	132
	tapes	NoC	92	+	380.2	11
	play	Verb	298	+	378.5	124
	necessary	Adj	15	-	377.9	109
	over there	Adv	169	+	376.3	48
	thank	Verb	421	-	375.0	714
	cake	NoC	104	+	374.9	17
	suggest	Verb	19	-	374.6	117
	extent	NoC	8	-	374.2	90
	law	NoC	26	-	373.2	131
	tonight	Adv	275	+	372.0	111
	Emma	NoP	72	+	370.2	5
	mentioned	Verb	40	-	369.2	159
	bath	NoC	91	+	367.7	12
	summat	Pron	65	+	367.4	3
	where	Adv	1649	+	367.4	1196
	site	NoC	20	-	364.9	118
	large	Adj	44	-	361.2	165
	production	NoC	6	-	361.1	80
	sales	NoC	13	-	361.0	101
	peasants	NoC	0	-	360.3	59
	Christopher	NoP	72	+	359.4	6
	U / u	Lett	56	-	359.3	186
	discussion	NoC	9	-	359.2	89
	silly	Adj	124	+	358.7	26
	yo	Uncl	175	+	358.3	53
	strategy	NoC	1	-	357.9	63
	care	NoC	31	-	357.8	139
	kitchen	NoC	136	+	356.1	33
	reason	NoC	89	-	355.9	242
	advice	NoC	13	-	355.5	99
	been	Verb	1762	-	355.4	2300
	half	DetP	590	+	354.4	337
	shoes	NoC	104	+	352.7	18
	ow	Int	54	+	351.6	1
	much	Adv	289	-	350.4	529
	honourable	Adj	0	-	350.3	55
	response	NoC	3	-	350.1	70
	supposed	Adj	215	+	348.7	77
	strategic	Adj	0	-	346.7	56
	Saturday	NoP	232	+	346.7	88
	individual	Adj	10	-	346.6	89
	pardon	NoC	189	+	346.6	62
	investment	NoC	8	-	345.8	85
	data	NoC	7	-	345.0	81
	better	Adv	297	+	344.7	130
	have*	Verb	8093	+	343.9	7074
	please	Adv	495	+	343.8	269
	Harrogate	NoP	0	-	343.6	55
	experience	NoC	37	-	342.1	148
	drink	Verb	98	+	341.7	16
	chips	NoC	80	+	341.1	9
	party	NoC	126	-	340.8	296
	criteria	NoC	1	-	339.5	59
	happen	Verb	74	-	338.2	212
	minute	NoC	322	+	338.1	148
	Ben	NoP	71	+	335.9	6
	form	NoC	58	-	334.9	185
	stuff	NoC	389	+	334.5	196
	love	NoC	188	+	333.1	64
	any	DetP	1223	-	332.9	1662
	approach	NoC	6	-	331.9	76
	huh	Int	62	+	330.6	4
	used	Verb	126	-	329.2	292
	cases	NoC	18	-	329.1	106
	ways	NoC	41	-	328.1	151
